"Generation, Recycling and Composting, by material, 1960 to 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation (thousand tons),,,,,,,,,,,Recycling and Composting (thousand tons),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paper,Glass,Metals,Plastics,Food,Yard trimmings,All other,Total,,,Paper,Glass,Metals,Plastics,"Yard trimmings, Food waste",All others*,Total,,,,,,,,,,,,
1960,"29,985","6,721","10,818",391,"12,200","20,000","8,002","88,117",,1960,"5,078",100,50,0,Neg.,382,"5,610",,,,,,,,,,,,
1961,"30,943","7,050","11,094",583,"12,500","20,500","8,382","91,052",,1961,"5,100",100,54,0,Neg.,356,"5,610",,,,,,,,,,,,
1962,"32,538","7,400","11,069",772,"12,600","20,800","8,348","93,527",,1962,"4,920",100,58,0,Neg.,362,"5,440",,,,,,,,,,,,
1963,"33,631","7,713","10,861",979,"12,700","21,200","8,464","95,548",,1963,"5,295",100,62,0,Neg.,363,"5,820",,,,,,,,,,,,
1964,"35,767","8,247","11,861","1,227","12,700","21,400","9,243","100,445",,1964,"5,245",100,347,0,Neg.,628,"6,320",,,,,,,,,,,,
1965,"38,145","8,725","12,158","1,484","12,700","21,600","9,559","104,371",,1965,"5,336",100,401,0,Neg.,653,"6,490",,,,,,,,,,,,
1966,"41,662","9,210","12,686","1,729","12,700","21,800","9,877","109,664",,1966,"5,405",100,360,0,Neg.,605,"6,470",,,,,,,,,,,,
1967,"41,384","10,308","12,884","1,878","12,700","22,000","10,201","111,355",,1967,"4,972",100,384,0,Neg.,604,"6,060",,,,,,,,,,,,
1968,"42,870","10,166","13,118","2,149","12,700","22,400","10,498","113,901",,1968,"5,246",100,399,0,Neg.,625,"6,370",,,,,,,,,,,,
1969,"45,417","11,757","13,850","2,423","12,700","22,900","10,766","119,813",,1969,"6,632",100,424,0,Neg.,624,"7,780",,,,,,,,,,,,
1970,"44,312","12,735","13,833","2,904","12,800","23,200","11,279","121,063",,1970,"6,775",157,480,0,Neg.,608,"8,020",,,,,,,,,,,,
1971,"45,172","12,612","13,790","3,102","12,800","23,400","11,892","122,768",,1971,"6,974",221,396,0,Neg.,679,"8,270",,,,,,,,,,,,
1972,"48,845","13,438","14,104","3,657","13,100","24,000","12,295","129,439",,1972,"7,338",273,450,0,Neg.,689,"8,750",,,,,,,,,,,,
1973,"51,659","13,668","14,308","4,000","13,200","24,800","13,036","134,671",,1973,"8,471",305,486,0,Neg.,688,"9,950",,,,,,,,,,,,
1974,"51,063","13,419","14,402","4,361","13,300","25,000","13,539","135,084",,1974,"9,134",324,579,0,Neg.,723,"10,760",,,,,,,,,,,,
1975,"43,188","13,573","14,252","4,335","13,400","25,200","13,850","127,798",,1975,"7,555",368,735,0,Neg.,602,"9,260",,,,,,,,,,,,
1976,"49,791","14,038","14,548","4,944","13,400","25,400","14,084","136,205",,1976,"9,076",478,666,0,Neg.,770,"10,990",,,,,,,,,,,,
1977,"51,559","14,387","14,304","5,597","13,300","25,600","14,935","139,682",,1977,"9,838",500,786,0,Neg.,856,"11,980",,,,,,,,,,,,
1978,"54,186","14,952","14,181","6,298","13,300","26,200","16,092","145,209",,1978,"9,988",500,858,0,Neg.,894,"12,240",,,,,,,,,,,,
1979,"56,239","15,355","14,278","7,449","13,200","27,000","17,542","151,063",,1979,"10,911",600,884,5,Neg.,880,"13,280",,,,,,,,,,,,
1980,"55,157","15,131","15,511","6,826","13,000","27,500","18,512","151,637",,1980,"11,738",750,"1,229",16,Neg.,787,"14,520",,,,,,,,,,,,
1981,"56,325","15,148","15,598","7,422","13,200","27,800","19,259","154,752",,1981,"11,432",750,"1,387",26,Neg.,775,"14,370",,,,,,,,,,,,
1982,"53,535","14,396","13,930","7,891","13,200","28,400","18,995","150,347",,1982,"11,092",750,"1,357",35,Neg.,706,"13,940",,,,,,,,,,,,
1983,"58,934","14,300","14,692","9,081","13,200","29,000","19,799","159,006",,1983,"12,066",850,"1,311",51,Neg.,662,"14,940",,,,,,,,,,,,
1984,"63,879","13,872","15,203","10,003","13,200","29,500","20,886","166,543",,1984,"13,351","1,000","1,435",87,Neg.,737,"16,610",,,,,,,,,,,,
1985,"62,814","13,166","14,614","11,128","13,200","30,000","21,348","166,270",,1985,"13,316","1,050","1,501",99,Neg.,744,"16,710",,,,,,,,,,,,
1986,"65,947","12,995","15,084","11,810","13,200","30,200","22,432","171,668",,1986,"15,079","1,100","1,564",116,Neg.,791,"18,650",,,,,,,,,,,,
1987,"69,952","12,472","15,598","12,923","13,200","31,000","23,623","178,768",,1987,"16,618","1,250","1,706",132,Neg.,934,"20,640",,,,,,,,,,,,
1988,"72,135","12,635","15,575","13,656","13,200","31,600","24,697","183,498",,1988,"18,483","1,506","2,484",152,474,"1,015","24,114",,,,,,,,,,,,
1989,"71,999","12,908","15,661","15,871","13,200","34,700","27,911","192,250",,1989,"20,371","2,514","3,597",268,"3,470","1,380","31,600",,,,,,,,,,,,
1990,"72,726","13,100","16,545","17,135",23860,"35,000","29,901","208,267",,1990,"20,226","2,625","4,315",368,"4,200","1,506","33,240",,,,,,,,,,,,
1991,"70,985","12,593","16,631","17,711",23890,"35,000","30,920","207,730",,1991,"22,517","2,555","4,793",454,"4,800","2,211","37,330",,,,,,,,,,,,
1992,"74,265","13,133","16,067","18,405",24050,"35,000","34,026","214,946",,1992,"24,472","2,891","5,168",604,"5,400","2,885","41,420",,,,,,,,,,,,
1993,"77,430","13,622","15,965","18,965",24300,"33,250","31,322","214,854",,1993,"25,485","3,007","5,660",670,"6,900","2,998","44,720",,,,,,,,,,,,
1994,"80,842","13,350","16,177","19,258",24610,"31,500","35,587","221,324",,1994,"29,467","3,110","6,260",940,"8,520","3,443","51,740",,,,,,,,,,,,
1995,"81,670","12,830","15,860","18,900",24730,"30,280","33,001","217,271",,1995,"32,705","3,141","6,057",989,"9,600","3,258","55,750",,,,,,,,,,,,
1996,"79,676","12,291","16,049","19,759",26160,"28,700","33,355","215,990",,1996,"32,604","3,174","6,362","1,057","10,910","3,933","58,040",,,,,,,,,,,,
1997,"83,290","12,012","16,610","21,463",26290,"29,000","34,435","223,100",,1997,"33,580","2,920","6,500","1,110","12,070","3,810","59,990",,,,,,,,,,,,
1998,"84,160","12,640","16,810","22,370",26590,"29,240","35,310","227,120",,1998,"34,360","2,940","6,120","1,200","13,140","4,060","61,820",,,,,,,,,,,,
1999,"88,260","12,910","17,790","24,080",26860,"29,500","35,480","234,880",,1999,"36,080","3,000","6,340","1,280","14,720","4,100","65,520",,,,,,,,,,,,
2000,"87,740","12,770","18,940","25,530",30700,"30,530","36,330","242,540",,2000,"37,560","2,880","6,600","1,480","16,450","4,490","69,460",,,,,,,,,,,,
2001,"82,770","12,600","19,040","26,150",31160,"30,840","37,310","239,870",,2001,"37,340","2,650","6,490","1,520","16,550","5,130","69,680",,,,,,,,,,,,
2002,"84,070","12,760","19,280","27,390",31610,"31,160","38,090","244,360",,2002,"37,980","2,730","6,820","1,480","16,740","5,220","70,970",,,,,,,,,,,,
2003,"83,160","12,550","19,610","27,870",32030,"31,470","38,740","245,430",,2003,"39,610","2,650","6,950","1,530","19,080","5,300","75,120",,,,,,,,,,,,
2004,"86,450","12,890","20,290","29,480",32460,"31,770","39,750","253,090",,2004,"40,730","2,730","7,120","1,730","20,470","5,790","78,570",,,,,,,,,,,,
2005,"84,840","12,540","20,400","29,380",32930,"32,070","41,570","253,730",,2005,"41,960","2,590","6,990","1,780","20,550","5,920","79,790",,,,,,,,,,,,
2006,"85,350","12,620","21,050","29,960",33270,"32,400","42,450","257,100",,2006,"43,830","2,630","7,240","2,060","20,780","6,100","82,640",,,,,,,,,,,,
2007,"82,530","12,520","21,190","30,910",33560,"32,630","43,160",256500,,2007,"44,480","2,880","7,310","2,110","21,710","6,320","84,810",,,,,,,,,,,,
2008,"77,420","12,150","21,330","30,290",34300,"32,900","44,260",252650,,2008,"42,940","2,810","7,390","2,140","22,100","6,620","84,000",,,,,,,,,,,,
2009,"68,430","11,780",21320,"30,070",35270,"33,200","44,850",244920,,2009,"42,500","3,000","7,360","2,120","20,750","6,820","82,550",,,,,,,,,,,,
2010,"71,310","11,520",22450,"31,400",35740,"33,400","45,230",251050,,2010,"44,570","3,130","7,920","2,500","20,170","7,140","85,430",,,,,,,,,,,,
2011,"69,950","11,490",22190,"32,100",36310,"33,710","46,220",251970,,2011,"45,900","3,180","7,650","2,660","20,570","7,300","87,260",,,,,,,,,,,,
2012,"68,620","11,590",22430,"32,070",36430,"33,960","47,190",252290,,2012,"44,360","3,210","7,690","2,790","21,330","7,420","86,800",,,,,,,,,,,,
2013,"68,550","11,540",23230,"32,730",37060,"34,200","47,760",255070,,2013,"43,400","3,150","7,930","2,990","22,440","7,470","87,380",,,,,,,,,,,,
2014,"68,610","11,480",23460,"33,340",38670,"34,500","48,340",258400,,2014,44400,"3,010","8,030","3,160","23,020","7,550","89,170",,,,,,,,,,,,
2015,"68,050","11,470",23870,"34,480","39,730","34,720","49,790",262110,,2015,45320,"3,190","8,030","3,120","23,390","7,900","90,950",,,,,,,,,,,,
2016,"67,480",12610,24760,"34,910","40,310","34,950","53,090",268110,,2016,45520,"3,260","8,340","3,280","25,110","8,140","93,650",,,,,,,,,,,,
2017,"67,010",12300,25220,"35,410","40,670","35,180","52,870",268660,,2017,44170,"3,070","8,480","3,000","26,990","8,260","93,970",,,,,,,,,,,,
2018,"67,390",12250,25600,"35,680","63,130","35,400","52,910",292360,,2018,45970,"3,060","8,720","3,090","24,890","8,250","93,980",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Neg. = negligible,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"* All other includes rubber, leather, textiles and wood. Electrolytes in lead acid batteries are also included but may not be recycled.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. EPA. Advancing Sustainable Materials Management: 2018 Tables and Figures. December 2020. Supporting information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
