tahun,provinsi,timbulan_sampah,pengurangan_sampah,penanganan_sampah
2019,jabar,2907389.88,312054.89,890664.83
2019,jateng,3746508.54,484436.26,1373104.48
2019,jatim,5497163.42,774655.22,2140038.71
2019,DIY,783652.44,184753.19,226909.85
2019,DKI,2008546.37,173850.63,1021722.72
2019,Banten,2425292.19,322771.08,1006618.72
2020,jabar,3640779.86,411178.65,1803144.80
2020,jateng,4323106.87,574715.81,3181989.53
2020,jatim,3847380.62,573508.28,1942750.46
2020,DIY,775306.07,193016.62,547251.60
2020,DKI,3054812.22,690136.30,2308740.43
2020,Banten,1319940.11,114186.22,494405.28
2021,jabar,4510863.43,587146.19,2219608.61
2021,jateng,5021888.22,860444.83,1933845.05
2021,jatim,4068911.99,652289.32,1828525.27
2021,DIY,452637.63,89001.94,199947.77
2021,DKI,3083437.85,756485.61,1679185.08
2021,Banten,795829.76,71829.12,278998.25
2022,jabar,4894648.33,606490.14,2281731.18
2022,jateng,5657837.21,1031123.66,2319516.41
2022,jatim,4954299.38,678691.26,2123650.19
2022,DIY,313245.20,59398.95,127743.06
2022,DKI,3112381.40,812268.74,2293065.79
2022,Banten,2627865.54,165235.86,1472532.38
